Betreiber,Adresse,Postleitzahl Ort,Längengrad [DG],Breitengrad [DG],Inbetriebnahmedatum,Anschlussleistung [kW],Art der Ladeeinrichtung,Anzahl Ladepunkte,Steckertypen 1,P1 [kW],Steckertypen 2,P2 [kW],Steckertypen 3,P3 [kW],Steckertypen 4,P4 [kW],
Allego GmbH,Kurfürstenstr. 164,10785 Berlin,"13,366073","52,499244",12/12/16,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Einemstr. 25,10785 Berlin,"13,352832","52,503742",1/10/17,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Inge-Beisheim-Platz 1,10785 Berlin,"13,376732","52,511446",9/1/16,11,Normalladeeinrichtung,1,AC Steckdose Typ 2,11,,,,,,,
Allego GmbH,Inge-Beisheim-Platz 1,10785 Berlin,"13,376732","52,511446",9/1/16,11,Normalladeeinrichtung,1,AC Steckdose Typ 2,11,,,,,,,
Allego GmbH,Inge-Beisheim-Platz 1,10785 Berlin,"13,376732","52,511446",9/1/16,11,Normalladeeinrichtung,1,AC Steckdose Typ 2,11,,,,,,,
Allego GmbH,Lützowstr. 113,10785 Berlin,"13,370846","52,501842",7/12/17,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
innogy SE,Stülerstraße 11,10787 Berlin,"13,349137","52,507832",4/13/10,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
innogy SE,Burggrafenstraße 6,10787 Berlin,"13,343569","52,505073",5/23/12,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
Allego GmbH,Keithstr. 1,10787 Berlin,"13,345728","52,501532",6/2/16,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Budapester Str. 11,10787 Berlin,"13,346073","52,506636",3/21/17,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
innogy SE,Augsburger Str. 25,10789 Berlin,"13,335301","52,501585",5/20/09,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
innogy SE,Bayreuther Straße 36,10789 Berlin,"13,343711","52,501225",12/23/11,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
Allego GmbH,Apostel-Paulus-Str. 5,10823 Berlin,"13,349555","52,488368",10/19/16,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
innogy SE,Grunewaldstraße 57,10825 Berlin,"13,340837","52,488661",5/23/12,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
Allego GmbH,Fritz-Elsas-Str. 22,10825 Berlin,"13,346442","52,482535",6/2/16,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Badensche Str. 8,10825 Berlin,"13,337844","52,485822",10/28/16,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Berchtesgadener Str.13,10825 Berlin,"13,343806","52,488831",3/10/16,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Belziger Str. 19,10825 Berlin,"13,354516","52,487371",2/23/16,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Helmstr. 10,10827 Berlin,"13,359963","52,48853",2/15/16,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Großgörschenstr. Vor 1,10827 Berlin,"13,361049","52,491234",2/5/16,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Lotte-Laserstein-Straße DB Südkreuz,10829 Berlin,"13,3642","52,47574",9/18/15,93,Schnellladeeinrichtung,2,"DC Kupplung Combo, DC CHAdeMO",50,AC Kupplung Typ 2,43,,,,,
Allego GmbH,Leberstr. 6,10829 Berlin,"13,361404","52,485471",3/4/16,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Mehringdamm 10,10961 Berlin,"13,388703","52,497232",5/31/16,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Südstern 14,10961 Berlin,"13,407274","52,488685",2/25/16,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
